COMUNA_NAME,GLOSA,TOTAL
Estación Central,Partes y accesorios de vehículos automóviles de las partidas 8701 a 8705.,"9186,92"
Estación Central,Aisladores eléctricos de cualquier materia.,"9155,28"
Estación Central,"Llaves de ajuste de mano (incluidas las llaves dinamométricas); cubos (vasos)* de ajuste intercambiables, incluso con mango.","8040,95"
Estación Central,"Tubos de caucho vulcanizado sin endurecer, incluso con sus accesorios (por ejemplo: juntas, codos, empalmes (racores)).","7218,12"
Estación Central,"Preparaciones  para  salsas y  salsas  preparadas; condimentos  y  sazonadores,  compuestos; harina de mostaza y mostaza preparada.",6820
Estación Central,"Partes de máquinas o aparatos, no expresadas ni comprendidas en otra parte de este Capítulo, sin conexiones eléctricas, partes aisladas eléctricamente, bobinados, contactos ni otras características eléctricas.",6752
Estación Central,"Escobas y escobillas, cepillos, brochas y pinceles (incluso si son partes de máquinas, aparatos o vehículos), escobas mecánicas, sin motor, de uso manual, fregonas o mopas y plumeros; cabezas preparadas para artículos de cepillería; almohadillas o muñequillas y rodillos, para pintar; rasquetas de caucho o materia flexible análoga.","3357,5"
Estación Central,"Los demás artículos confeccionados, incluidos los patrones para prendas de vestir.","3230,22"
Estación Central,"Árboles de transmisión (incluidos los de levas y los cigüeñales) y manivelas; cajas de cojinetes y cojinetes; engranajes y ruedas de fricción; husillos fileteados de bolas o rodillos; reductores, multiplicadores y variadores de velocidad, incluidos los convertidores de par; volantes y poleas, incluidos los motones; embragues y órganos de acoplamiento, incluidas las juntas de articulación.","3198,92"
Estación Central,"Discos, cintas, dispositivos de almacenamiento permanente de datos a base de semiconductores, tarjetas inteligentes («smart cards») y demás soportes para grabar sonido o grabaciones análogas, grabados o no, incluso las matrices y moldes galvánicos para fabricación de discos, excepto los productos del Capítulo 37.","2890,49"
Estación Central,Alambre de hierro o acero sin alear.,2600
Estación Central,"Baúles, maletas (valijas), maletines, incluidos los de aseo y los portadocumentos, portafolios (carteras de mano), cartapacios, fundas y estuches para gafas (anteojos), binoculares, cámaras fotográficas o cinematográficas, instrumentos musicales o armas y continentes similares; sacos de viaje, sacos (bolsas)* aislantes para alimentos y bebidas, bolsas de aseo, mochilas, bolsos de mano (carteras), bolsas para la compra, billeteras, portamonedas, portamapas, petacas, pitilleras y bolsas para tabaco, bolsas para herramientas y para artículos de deporte, estuches para frascos y botellas, estuches para joyas, polveras, estuches para orfebrería y continentes similares, de cuero natural o regenerado, hojas de plástico, materia textil, fibra vulcanizada o cartón, o recubiertos totalmente o en su mayor parte con esas materias o papel.","2446,79"
Estación Central,"Ácidos monocarboxílicos acíclicos no saturados y ácidos monocarboxílicos cíclicos, sus anhídridos, halogenuros, peróxidos y peroxiácidos; sus derivados halogenados, sulfonados, nitrados o nitrosados.","2011,97"
Estación Central,"Chapas y tiras, de cobre, de espesor superior a 0,15 mm.","1836,45"
Estación Central,Instrumentos y aparatos para regulación o control automáticos.,"1598,15"
Estación Central,Cámaras de caucho para neumáticos (llantas neumáticas).,"1425,4"
Estación Central,"Construcciones y sus partes (por ejemplo: puentes y sus partes, compuertas de esclusas, torres, castilletes, pilares, columnas, armazones para techumbre, techados, puertas y ventanas y sus marcos, contramarcos  y umbrales, cortinas de cierre, barandillas), de fundición, hierro o acero, excepto las construcciones prefabricadas de la partida 9406; chapas, barras, perfiles, tubos y similares, de fundición, hierro o acero, preparados para la construcción.","1003,09"
Estación Central,"Bordados en pieza, en tiras o en aplicaciones.","647,25"
Estación Central,"Máquinas y aparatos para imprimir mediante planchas, cilindros y demás elementos impresores de la partida 8442; las demás máquinas impresoras, copiadoras y de fax, incluso combinadas entre sí; partes y accesorios.",500
Estación Central,"Videoconsolas y máquinas de videojuego, artículos para juegos de sociedad, incluidos los juegos con motor o mecanismo, billares, mesas especiales para juegos de casino y juegos de bolos automáticos («bowlings»).",300
Freire,"Madera aserrada o desbastada longitudinalmente, cortada o desenrollada, incluso cepillada, lijada o unida por los extremos, de espesor superior a 6 mm.","2372209,1"
Frutillar,Miel natural.,"14360,97"
Gorbea,"Las demás frutas u otros frutos, frescos.",1196736
Gorbea,"Hojas para chapado (incluidas las obtenidas por cortado de madera estratificada), para contrachapado o para maderas estratificadas similares y demás maderas,  aserradas longitudinalmente, cortadas o desenrolladas, incluso cepilladas, lijadas, unidas longitudinalmente o por los extremos, de espesor inferior o igual a 6 mm.","325577,99"
Gorbea,"Tortas y demás residuos sólidos de la extracción de grasas o aceites vegetales, incluso molidos o en «pellets», excepto los de las partidas 2304 ó 2305.",7050
Graneros,"Damascos (albaricoques, chabacanos)*, cerezas, duraznos (melocotones)* (incluidos los griñones y nectarinas), ciruelas y endrinas, frescos.",4414679
Graneros,"Las demás frutas u otros frutos, frescos.",1241224
Graneros,"Cajas, sacos (bolsas), bolsitas, cucuruchos y demás envases de papel, cartón, guata de celulosa o napa de fibras de celulosa; cartonajes de oficina, tienda o similares.","737859,39"
Graneros,"Vino de uvas frescas, incluso encabezado; mosto de uva, excepto el de la partida 2009.","224932,79"
Graneros,Productos vegetales no expresados ni comprendidos en otra parte.,105708
Graneros,"Manzanas, peras y membrillos, frescos.",83964
Graneros,"Máquinas y aparatos para imprimir mediante planchas, cilindros y demás elementos impresores de la partida 8442; las demás máquinas impresoras, copiadoras y de fax, incluso combinadas entre sí; partes y accesorios.",73600
Graneros,"Los demás frutos de cáscara frescos o secos, incluso sin cáscara o mondados.",60835
Graneros,Maíz.,"47347,2"
Graneros,"Los demás papeles, cartones, guata de celulosa y napa de fibras de celulosa, cortados en formato; los demás artículos de pasta de papel, papel, cartón, guata de celulosa o napa de fibras de celulosa.","21241,26"
Graneros,"Habas (porotos, frijoles, fréjoles)* de soja (soya), incluso quebrantadas.",6694
Graneros,"Semilla de girasol, incluso quebrantada.","4174,3"
Graneros,"Semillas, frutos y esporas, para siembra.",1728
Hijuelas,"Dátiles, higos, piñas (ananás), paltas (aguacates)*, guayabas, mangos y mangostanes, frescos o secos.","92830836,39"
Hijuelas,Agrios (cítricos) frescos o secos.,"36646928,22"
Hijuelas,"Semillas, frutos y esporas, para siembra.","6534170,46"
Hijuelas,"Las demás frutas u otros frutos, frescos.","2053752,43"
Hijuelas,"Bulbos, cebollas, tubérculos, raíces y bulbos tuberosos, turiones y rizomas, en reposo vegetativo, en vegetación o en flor; plantas y raíces de achicoria, excepto las raíces de la partida 1212.","653191,71"
Hijuelas,"Tubos y accesorios de tubería (por ejemplo: juntas, codos, empalmes (racores)), de plástico.","573238,44"
Hijuelas,"Motores y generadores, eléctricos, excepto los grupos electrógenos.","509545,28"
Hijuelas,"Cebollas, chalotes, ajos, puerros y demás hortalizas aliáceas, frescos o refrigerados.","406620,27"
Hijuelas,"Bombas para líquidos, incluso con dispositivo medidor incorporado; elevadores de líquidos.","201711,48"
Hijuelas,"Accesorios de tubería (por ejemplo: empalmes (racores), codos, manguitos) de aluminio.","127386,32"
Hijuelas,"Accesorios de tubería (por ejemplo: empalmes (racores), codos, manguitos), de fundición, hierro o acero.","127386,32"
Hijuelas,"Condensadores eléctricos fijos, variables o ajustables.","127386,32"
Hijuelas,"Hilos, cables (incluidos los coaxiales) y demás conductores aislados para electricidad, aunque estén laqueados, anodizados o provistos de piezas de conexión; cables de fibras ópticas constituidos por fibras enfundadas individualmente, incluso con conductores eléctricos incorporados o provistos de piezas de conexión.","127386,32"
Hijuelas,"Las demás plantas vivas (incluidas sus raíces), esquejes e injertos; micelios.","96316,42"
Hijuelas,"Aparatos para corte, seccionamiento, protección, derivación, empalme o conexión de circuitos eléctricos (por ejemplo: interruptores, conmutadores, relés, cortacircuitos, supresores de sobretensión transitoria, clavijas y tomas de corriente (enchufes), portalámparas y demás conectores, cajas de empalme), para una tensión inferior o igual a 1000 voltios; conectores de fibras ópticas, haces o cables de fibras ópticas.","63693,16"
Hijuelas,"Cables, trenzas, eslingas y artículos similares, de hierro o acero, sin aislar para electricidad.","63693,16"
Hijuelas,Cobre sin refinar; ánodos de cobre para refinado electrolítico.,"63693,16"
Hijuelas,"Tornillos, pernos, tuercas, tirafondos, escarpias roscadas, remaches, pasadores, clavijas, chavetas, arandelas (incluidas las arandelas de muelle (resorte)) y artículos similares, de fundición, hierro o acero.","63693,16"
Hijuelas,"Zanahorias, nabos, remolachas para ensalada, salsifíes, apionabos, rábanos y raíces comestibles similares, frescos o refrigerados.",57600
Hijuelas,"Las demás hortalizas, frescas o refrigeradas.",39094
Hualaihué,"Moluscos, incluso separados de sus valvas, vivos, frescos, refrigerados, congelados, secos, salados o en salmuera; moluscos ahumados, incluso pelados o cocidos, antes o durante el ahumado; harina, polvo y «pellets» de moluscos, aptos para la alimentación humana.",170550
Hualpén,"Madera aserrada o desbastada longitudinalmente, cortada o desenrollada, incluso cepillada, lijada o unida por los extremos, de espesor superior a 6 mm.","143177,46"
Hualpén,"Juntas metaloplásticas; surtidos de juntas o empaquetaduras de distinta composición presentados en bolsitas, sobres o envases análogos; juntas mecánicas de estanqueidad.","517,2"
Hualqui,"Algarrobas, algas, remolacha azucarera y caña de azúcar, frescas, refrigeradas, congeladas o secas, incluso pulverizadas; huesos (carozos)* y almendras de frutos y demás productos vegetales  (incluidas las raíces de achicoria sin tostar de la variedad Cichorium intybus sativum) empleados principalmente en la alimentación humana, no expresados ni comprendidos en otra parte.","1624634,42"
Huechuraba,"Las demás frutas u otros frutos, frescos.","303468450,09"
Huechuraba,"Vino de uvas frescas, incluso encabezado; mosto de uva, excepto el de la partida 2009.","145928199,7"
Huechuraba,"Pescado congelado, excepto los filetes y demás carne de pescado de la partida 0304.","103114807,18"
Huechuraba,"Damascos (albaricoques, chabacanos)*, cerezas, duraznos (melocotones)* (incluidos los griñones y nectarinas), ciruelas y endrinas, frescos.","70104368,01"
Huechuraba,"Partes identificables como destinadas, exclusiva o principalmente, a las máquinas o aparatos de las partidas 8425 a 8430.","44700222,44"
Huechuraba,Partes y accesorios de vehículos automóviles de las partidas 8701 a 8705.,"33234658,73"
Huechuraba,"Partes identificables como destinadas, exclusiva o principalmente, a los motores de las partidas 8407 u 8408.","31785315,76"
Huechuraba,"Artículos de grifería y órganos similares para tuberías, calderas, depósitos, cubas o continentes similares, incluidas las válvulas reductoras de presión y las válvulas termostáticas.","22839197,63"
Huechuraba,Los demás motores y máquinas motrices.,"22045148,6"
Huechuraba,"Uvas, frescas o secas, incluidas las pasas.","21895685,8"
Huechuraba,"Bombas de aire o de vacío, compresores de aire u otros gases y ventiladores;  campanas aspirantes para extracción o reciclado, con ventilador incorporado, incluso con filtro.","18103217,36"
Huechuraba,"Árboles de transmisión (incluidos los de levas y los cigüeñales) y manivelas; cajas de cojinetes y cojinetes; engranajes y ruedas de fricción; husillos fileteados de bolas o rodillos; reductores, multiplicadores y variadores de velocidad, incluidos los convertidores de par; volantes y poleas, incluidos los motones; embragues y órganos de acoplamiento, incluidas las juntas de articulación.","16587666,58"
Huechuraba,"Frutas y otros frutos, sin cocer o cocidos en agua o vapor, congelados, incluso con adición de azúcar u otro edulcorante.","16557382,03"
Huechuraba,Motores de émbolo (pistón) de encendido por compresión (motores diésel o semi-diésel).,"15647987,52"
Huechuraba,"Transformadores eléctricos, convertidores eléctricos estáticos (por ejemplo, rectificadores) y bobinas de reactancia (autoinducción).","11761441,08"
Huechuraba,"Grúas y aparatos de elevación sobre cable aéreo; puentes rodantes, pórticos de descarga o manipulación, puentes grúa, carretillas puente y carretillas grúa.",9693062
Huechuraba,"Vehículos automóviles para usos especiales, excepto los concebidos principalmente para transporte de personas o mercancías (por ejemplo: coches para reparaciones (auxilio mecánico), camiones grúa, camiones de bomberos, camiones hormigonera, coches barredera, coches esparcidores, coches taller, coches radiológicos).",9446375
Huechuraba,"Filetes y demás carne de pescado (incluso picada), frescos, refrigerados o congelados.","8647036,09"
Huechuraba,"Cuadros, paneles, consolas, armarios y demás soportes equipados con varios aparatos de las partidas  8535 u 8536, para control o distribución de electricidad, incluidos los que incorporen instrumentos o aparatos del Capítulo 90, así como los aparatos de control numérico, excepto los aparatos de conmutación de la partida 8517.","8563226,47"
Huechuraba,"Aparatos y dispositivos eléctricos de encendido o de arranque, para motores de encendido por chispa o por compresión (por ejemplo: magnetos, dinamomagnetos, bobinas de encendido, bujías de encendido o calentamiento, motores de arranque); generadores (por ejemplo: dínamos, alternadores) y reguladores disyuntores utilizados con estos motores.","8252675,24"
Huechuraba,"Tornillos, pernos, tuercas, tirafondos, escarpias roscadas, remaches, pasadores, clavijas, chavetas, arandelas (incluidas las arandelas de muelle (resorte)) y artículos similares, de fundición, hierro o acero.","7298673,95"
Huechuraba,"Bombas para líquidos, incluso con dispositivo medidor incorporado; elevadores de líquidos.","7182521,63"
Huechuraba,"Topadoras frontales (buldóceres), topadoras angulares («angledozers»), niveladoras, traíllas («scrapers»), palas mecánicas, excavadoras, cargadoras, palas cargadoras, compactadoras y apisonadoras (aplanadoras), autopropulsadas.","7037489,7"
Huechuraba,Perfumes y aguas de tocador.,6559691
Huechuraba,"Preparaciones para afeitar o para antes o después del afeitado, desodorantes corporales, preparaciones para el baño, depilatorios y demás preparaciones de perfumería, de tocador o de cosmética, no expresadas ni comprendidas en otra parte; preparaciones desodorantes de locales, incluso sin perfumar, aunque tengan propiedades desinfectantes.","5960332,69"
Huechuraba,Instrumentos y aparatos para regulación o control automáticos.,"5600570,9"
Huechuraba,"Motores y generadores, eléctricos, excepto los grupos electrógenos.","5354611,12"
Huechuraba,"Rodamientos de bolas, de rodillos o de agujas.","5346634,45"
Huechuraba,"Accesorios de tubería (por ejemplo: empalmes (racores), codos, manguitos), de fundición, hierro o acero.","5126536,6"
Huechuraba,"Manzanas, peras y membrillos, frescos.","4945596,56"
Huechuraba,"Centrifugadoras, incluidas las secadoras centrífugas; aparatos para  filtrar o depurar líquidos o gases.","4290072,46"
Huechuraba,"Artículos para el transporte o envasado, de plástico; tapones, tapas, cápsulas y demás dispositivos de cierre, de plástico.","4150999,03"
Huechuraba,"Máquinas y aparatos para acondicionamiento de aire que comprendan un ventilador con motor y los dispositivos adecuados para modificar la temperatura y la humedad, aunque no regulen separadamente el grado higrométrico.","3885504,88"
Huechuraba,"Hilos, cables (incluidos los coaxiales) y demás conductores aislados para electricidad, aunque estén laqueados, anodizados o provistos de piezas de conexión; cables de fibras ópticas constituidos por fibras enfundadas individualmente, incluso con conductores eléctricos incorporados o provistos de piezas de conexión.","3884088,18"
Huechuraba,"Insecticidas, raticidas y demás antirroedores, fungicidas, herbicidas, inhibidores de germinación y reguladores del crecimiento de las plantas, desinfectantes y productos similares, presentados en formas o  en  envases para la venta al por menor, o como preparaciones o artículos tales como cintas, mechas y velas, azufradas, y papeles matamoscas.","3752045,35"
Huechuraba,Preparaciones anticongelantes y líquidos preparados para descongelar.,"3510674,05"
Huechuraba,"Calentadores eléctricos de agua de calentamiento instantáneo o acumulación y calentadores eléctricos de inmersión; aparatos eléctricos para calefacción de espacios o suelos; aparatos electrotérmicos para el cuidado del cabello (por ejemplo: secadores, rizadores, calientatenacillas) o para secar las manos; planchas eléctricas; los demás aparatos electrotérmicos de uso doméstico; resistencias calentadoras, excepto las de la partida 8545.","3482782,58"
Huechuraba,"Candados, cerraduras y cerrojos (de llave, combinación o eléctricos), de metal común; cierres y monturas cierre, con cerradura incorporada, de metal común; llaves de metal común para estos artículos.","3475219,79"
Huechuraba,Contenedores (incluidos los contenedores cisterna y los contenedores depósito) especialmente concebidos y equipados para uno o varios medios de transporte.,"3348924,87"
Huechuraba,"Cueros preparados después del curtido o del secado y cueros y pieles apergaminados, de bovino (incluido el búfalo) o equino, depilados, incluso divididos, excepto los de la partida 4114.","3341274,38"
Huechuraba,"Agentes de superficie orgánicos (excepto el jabón); preparaciones tensoactivas, preparaciones para lavar (incluidas las preparaciones auxiliares de lavado) y preparaciones de limpieza, aunque contengan jabón, excepto las de la partida 3401.","3276368,47"
Huechuraba,"Refrigeradores, congeladores y demás material, máquinas y aparatos para producción de frío, aunque no sean eléctricos; bombas de calor, excepto las máquinas y aparatos para acondicionamiento de aire de la partida 8415.","3248035,22"
Huechuraba,"Pescado fresco o refrigerado, excepto los filetes y demás carne de pescado de la partida 0304.","3211683,23"
Huechuraba,"Teléfonos, incluidos los teléfonos móviles (celulares)* y los de otras redes inalámbricas; los demás aparatos para emisión, transmisión o recepción de voz, imagen u otros datos, incluidos los de comunicación en red con o sin cable (tales como redes locales (LAN) o extendidas (WAN)), distintos de los aparatos de emisión, transmisión o recepción de las partidas 8443, 8525, 8527 u 8528.","3033045,62"
Huechuraba,"Estufas, calderas con hogar, cocinas (incluidas las que puedan utilizarse accesoriamente para calefacción central), barbacoas (parrillas)*, braseros, hornillos de gas, calientaplatos y aparatos no eléctricos similares, de uso doméstico, y sus partes, de fundición, hierro o acero.","3010516,35"
Huechuraba,Vehículos automóviles para transporte de mercancías.,2899750
Huechuraba,"Aparatos para corte, seccionamiento, protección, derivación, empalme o conexión de circuitos eléctricos (por ejemplo: interruptores, conmutadores, relés, cortacircuitos, supresores de sobretensión transitoria, clavijas y tomas de corriente (enchufes), portalámparas y demás conectores, cajas de empalme), para una tensión inferior o igual a 1000 voltios; conectores de fibras ópticas, haces o cables de fibras ópticas.","2503197,57"
Huechuraba,Carretillas apiladoras; las demás carretillas de manipulación con dispositivo de elevación incorporado.,"2499507,51"
Huechuraba,"Instrumentos y aparatos de medicina, cirugía, odontología o veterinaria, incluidos los de centellografía y demás aparatos electromédicos, así como los aparatos para pruebas visuales.","2372670,6"
Huechuraba,"Partes de máquinas o aparatos, no expresadas ni comprendidas en otra parte de este Capítulo, sin conexiones eléctricas, partes aisladas eléctricamente, bobinados, contactos ni otras características eléctricas.","2291806,17"
Huechuraba,"Instrumentos y aparatos para la medida o control del caudal, nivel, presión u otras características variables de líquidos o gases (por ejemplo: caudalímetros, indicadores de nivel, manómetros, contadores de calor), excepto los instrumentos y aparatos de las partidas 9014, 9015, 9028 ó 9032.","2244843,37"
Huechuraba,"Las demás plantas vivas (incluidas sus raíces), esquejes e injertos; micelios.","2210312,64"
Huechuraba,Las demás manufacturas de hierro o acero.,"2201781,17"
Huechuraba,"Polvo y escamillas, de cobre.",1872000
Huechuraba,"Preparaciones de belleza, maquillaje y para el cuidado de la piel, excepto los medicamentos, incluidas las preparaciones antisolares y las bronceadoras; preparaciones para manicuras o pedicuros.","1820844,94"
Huechuraba,"Afeitadoras, máquinas de cortar el pelo o esquilar y aparatos de depilar, con motor eléctrico incorporado.","1674009,45"
Huechuraba,Preparaciones alimenticias no expresadas ni comprendidas en otra parte.,"1534519,83"
Huechuraba,Grupos electrógenos y convertidores rotativos eléctricos.,"1524336,78"
Huechuraba,Las demás manufacturas de plástico y manufacturas de las demás materias de las partidas 3901 a 3914.,"1464530,34"
Huechuraba,"Cadenas y sus partes, de fundición, hierro o acero.","1335442,44"
Huechuraba,"Guarniciones, herrajes y artículos similares, de metal común, para muebles, puertas, escaleras, ventanas, persianas, carrocerías, artículos de guarnicionería, baúles, arcas, cofres y demás manufacturas de esta clase; colgadores, perchas, soportes y artículos similares, de metal común; ruedas con montura de metal común; cierrapuertas automáticos de metal común.","1331210,71"
Huechuraba,"Los demás papeles, cartones, guata de celulosa y napa de fibras de celulosa, cortados en formato; los demás artículos de pasta de papel, papel, cartón, guata de celulosa o napa de fibras de celulosa.","1232353,06"
Huechuraba,"Aparatos eléctricos de señalización acústica o visual (por ejemplo: timbres, sirenas, tableros indicadores, avisadores de protección contra robo o incendio), excepto los de las partidas 8512 u 8530.","1119324,05"
Huechuraba,"Tejidos de hilados de filamentos sintéticos, incluidos los tejidos fabricados con los productos de la partida 5404.","1087166,86"
Huechuraba,"Lámparas eléctricas portátiles concebidas para funcionar con su propia fuente de energía (por ejemplo: de pilas, acumuladores, electromagnéticas), excepto los aparatos de alumbrado de la partida  8512.","1073883,35"
Huechuraba,"Preparaciones aglutinantes para moldes o núcleos de fundición; productos químicos y preparaciones de la industria química o de las industrias conexas (incluidas las mezclas de productos naturales), no expresados ni comprendidos en otra parte.","1066024,14"
Huechuraba,"Frutas y otros frutos, secos, excepto los de las partidas 0801 a 0806; mezclas de frutas u otros frutos, secos, o de frutos de cáscara de este Capítulo.","1060984,45"
Huechuraba,Ferroaleaciones.,"1033959,98"
Huechuraba,"Los demás frutos de cáscara frescos o secos, incluso sin cáscara o mondados.","1022473,77"
Huechuraba,"Aparatos electromecánicos con motor eléctrico incorporado, de uso doméstico, excepto las aspiradoras de la partida 8508.","1007185,55"
Huechuraba,"Máquinas y aparatos mecánicos con función propia, no expresados ni comprendidos en otra parte de este Capítulo.","995891,39"
Huechuraba,"Instrumentos, aparatos y máquinas de medida o control, no expresados ni comprendidos en otra parte de este Capítulo; proyectores de perfiles.",946730
Huechuraba,Las demás manufacturas de caucho vulcanizado sin endurecer.,"929089,99"
Huechuraba,Enzimas; preparaciones enzimáticas no expresadas ni comprendidas en otra parte.,"910249,53"
Huechuraba,"Crustáceos, moluscos y demás invertebrados acuáticos, preparados o conservados.","888960,8"
Huechuraba,"Muelles (resortes), ballestas y sus hojas, de hierro o acero.","835991,25"
Huechuraba,"Artículos para la construcción, de plástico, no expresados ni comprendidos en otra parte.","806654,97"
Huechuraba,"Termos y demás recipientes isotérmicos, montados y aislados por vacío, así como sus partes (excepto las ampollas de vidrio).","720823,45"
Huechuraba,"Trajes sastre, conjuntos, chaquetas (sacos), vestidos, faldas, faldas pantalón, pantalones largos, pantalones con peto, pantalones cortos (calzones) y shorts (excepto de baño), de punto, para mujeres o niñas.","704111,96"
Huechuraba,"Acumuladores eléctricos, incluidos sus separadores, aunque sean cuadrados o rectangulares.","672025,35"
Huechuraba,"Aceites de petróleo o de mineral bituminoso, excepto los aceites crudos; preparaciones no expresadas ni comprendidas en otra parte, con un contenido de aceites de petróleo o de mineral bituminoso superior o igual al 70 % en peso, en las que estos aceites constituyan el elemento base; desechos de aceites.","651725,94"
Huechuraba,"Construcciones y sus partes (por ejemplo: puentes y sus partes, torres, castilletes, pilares, columnas, armazones para techumbre, techados, puertas y ventanas, y sus marcos, contramarcos y umbrales, barandillas), de aluminio, excepto las construcciones prefabricadas de la partida 9406; chapas, barras, perfiles, tubos y similares, de aluminio, preparados para la construcción.","628017,61"
Huechuraba,"Construcciones y sus partes (por ejemplo: puentes y sus partes, compuertas de esclusas, torres, castilletes, pilares, columnas, armazones para techumbre, techados, puertas y ventanas y sus marcos, contramarcos  y umbrales, cortinas de cierre, barandillas), de fundición, hierro o acero, excepto las construcciones prefabricadas de la partida 9406; chapas, barras, perfiles, tubos y similares, de fundición, hierro o acero, preparados para la construcción.","613995,03"
Huechuraba,"Densímetros, areómetros, pesalíquidos e instrumentos flotantes similares, termómetros, pirómetros, barómetros, higrómetros y sicrómetros, aunque sean registradores, incluso combinados entre sí.","603055,67"
Huechuraba,"Tubos de caucho vulcanizado sin endurecer, incluso con sus accesorios (por ejemplo: juntas, codos, empalmes (racores)).","559528,65"
Huechuraba,"Partes identificables como destinadas, exclusiva o principalmente, a los aparatos de las partidas 8525 a 8528.","554881,23"
Huechuraba,"«T-shirts» y camisetas, de punto.","527963,6"
Huechuraba,"Partes identificables como destinadas, exclusiva o principalmente, a las máquinas de las partidas 8501 u 8502.","499459,01"
Huechuraba,"Tubos y perfiles huecos, sin soldadura (sin costura)*, de hierro o acero.","492781,73"
Huechuraba,"Máquinas y aparatos eléctricos con función propia, no expresados ni comprendidos en otra parte de este Capítulo.","490158,92"
Huechuraba,"Diodos, transistores y dispositivos semiconductores similares; dispositivos semiconductores fotosensibles, incluidas las células fotovoltaicas, aunque estén ensambladas en módulos o paneles; diodos emisores de luz; cristales piezoeléctricos montados.","484523,82"
Huechuraba,"Hortalizas, aunque estén cocidas en agua o vapor, congeladas.","482659,85"
Huechuraba,"Pilas y baterías de pilas, eléctricas.","465176,82"
Huechuraba,"Aparatos eléctricos de alumbrado o señalización (excepto los artículos de la partida 8539), limpiaparabrisas, eliminadores de escarcha o vaho, eléctricos, de los tipos utilizados en velocípedos o vehículos automóviles.","460395,69"
Huechuraba,"Prensas, estrujadoras y máquinas y aparatos análogos para la producción de vino, sidra, jugos de frutos o bebidas similares.","455934,17"
Huechuraba,"Aparatos emisores de radiodifusión o televisión, incluso con aparato receptor o de grabación o reproducción de sonido incorporado; cámaras de televisión, cámaras digitales y videocámaras.","449658,88"
Huechuraba,"Motores de émbolo (pistón) alternativo y motores rotativos, de encendido por chispa (motores de explosión).","445216,4"
Huechuraba,"Herramientas de mano (incluidos los diamantes de vidriero) no expresadas ni comprendidas en otra parte; lámparas de soldar y similares; tornillos de banco, prensas de carpintero y similares, excepto los que sean accesorios o partes de máquinas herramienta; yunques; fraguas portátiles; muelas de mano o pedal, con bastidor.","442089,68"
Huechuraba,"Llaves de ajuste de mano (incluidas las llaves dinamométricas); cubos (vasos)* de ajuste intercambiables, incluso con mango.","435827,16"
Huechuraba,"Máquinas (incluidas las prensas) de forjar o estampar, martillos pilón y otras máquinas de martillar, para trabajar metal; máquinas (incluidas las prensas) de enrollar, curvar, plegar, enderezar, aplanar, cizallar, punzonar o entallar, metal; prensas para trabajar metal o carburos metálicos, no expresadas anteriormente.","434469,74"
Huechuraba,"Turbinas hidráulicas, ruedas hidráulicas y sus reguladores.","434469,74"
Huechuraba,Aspiradoras.,"407086,51"
Huechuraba,"Resistencias eléctricas, excepto las de calentamiento (incluidos reóstatos y potenciómetros).","403766,34"
Huechuraba,"Crustáceos, incluso pelados, vivos, frescos, refrigerados, congelados, secos, salados o en salmuera; crustáceos ahumados, incluso pelados o cocidos, antes o durante el ahumado; crustáceos sin pelar, cocidos en agua o vapor, incluso refrigerados, congelados, secos, salados o en salmuera; harina, polvo y «pellets» de crustáceos, aptos para la alimentación humana.","402143,13"
Huechuraba,"Guantes, mitones y manoplas, de punto.","400308,64"
Huechuraba,Los demás muebles y sus partes.,"367630,84"
Huechuraba,"Trajes sastre, conjuntos, chaquetas (sacos), vestidos, faldas, faldas pantalón, pantalones largos, pantalones con peto, pantalones cortos (calzones) y shorts (excepto de baño), para mujeres o niñas.","352296,72"
Huechuraba,"Papel del tipo utilizado para papel higiénico y papeles similares, guata de celulosa o napa de fibras de celulosa, de los tipos utilizados para fines domésticos o sanitarios, en bobinas (rollos) de una anchura inferior o igual a 36 cm o cortados en formato; pañuelos, toallitas de desmaquillar, toallas, manteles, servilletas, sábanas y artículos similares para uso doméstico, de tocador, higiénico o de hospital, prendas y complementos (accesorios), de vestir, de pasta de papel, papel, guata de celulosa o napa de fibras de celulosa.","328864,46"
Huechuraba,"Asientos (excepto los de la partida 9402), incluso los transformables en cama, y sus partes.","326269,27"
Huechuraba,"Dátiles, higos, piñas (ananás), paltas (aguacates)*, guayabas, mangos y mangostanes, frescos o secos.","317350,8"
Huechuraba,"Frutas u otros frutos y demás partes comestibles de plantas, preparados o conservados de otro modo, incluso con adición de azúcar u otro edulcorante o alcohol, no expresados ni comprendidos en otra parte.","303516,81"
Huechuraba,"Aparatos mecánicos (incluso manuales) para proyectar, dispersar o pulverizar materias líquidas o en polvo; extintores, incluso cargados; pistolas aerográficas y aparatos similares; máquinas y aparatos de chorro de arena o de vapor y aparatos de chorro similares.","289856,97"
Huechuraba,"Tubos flexibles de metal común, incluso con sus accesorios.","278150,26"
Huechuraba,"Peines, peinetas, pasadores y artículos similares; horquillas; rizadores, bigudíes y artículos similares para el peinado, excepto los de la partida 8516, y sus partes.",277574
Huechuraba,"Los demás impresos, incluidas las estampas, grabados y fotografías.","275083,68"
Huechuraba,"Harina, sémola y polvo de las hortalizas de la partida 0713, de sagú o de las raíces o tubérculos de la partida 0714 o de los productos del Capítulo 8.","270012,89"
